Lava A10,http://www.infibeam.com/Mobiles/i-Lava-A10-First-Touch-Screen/P-E-M-Lava-A10.html,Lava A10,M0063,Match,Code B-Tree Match
Lava A11 Dual Sim With Clamshell,http://www.infibeam.com/Mobiles/i-Lava-A11-Dual-Flip-Phone/P-E-M-Lava-A11.html,,,No Match
Lava A16 MTV Phone,http://www.infibeam.com/Mobiles/i-Lava-A16-MTV-Dual-Phone/P-E-M-Lava-A16.html,Lava A16,M0065,Match,Code B-Tree Match
Lava B5 Qwerty,http://www.infibeam.com/Mobiles/i-Lava-B5-Qwerty-Smartphone-DualSim/P-E-M-Lava-B5Qwerty.html,Lava B5 Qwerty,M0607,Match,Code B-Tree Match
Lava B8 - Dual Sim,http://www.infibeam.com/Mobiles/i-Lava-B8-Dual-SIM-QWERTY/P-E-M-Lava-B8.html,Lava B8,M0067,Match,Code B-Tree Match
Lava KKT 30,http://www.infibeam.com/Mobiles/i-Lava-KKT-30-Dual-Sim/P-E-M-Lava-KKT30.html,Lava KKT 30,M0068,Match,Code B-Tree Match
Lava M70,http://www.infibeam.com/Mobiles/i-Lava-M70-Dual-Sim-Smartphone/P-E-M-Lava-M70.html,Lava M70,M0069,Match,Code B-Tree Match
Lava M9,http://www.infibeam.com/Mobiles/i-Lava-M9-Dual-Sim-Mobile/P-E-M-Lava-M9.html,Lava M9,M0070,Match,Code B-Tree Match
Lava S12,http://www.infibeam.com/Mobiles/i-Lava-S12-Android-Mobile/P-E-M-Lava-S12.html,Lava S12,M0071,Match,Code B-Tree Match
Lemon Duo 212,http://www.infibeam.com/Mobiles/i-Lemon-Duo-212-Mobile-Phone/P-E-M-Lemon-Duo212.html,Lemon Duo 212,M0072,Match,Code B-Tree Match
Lemon Duo 306,http://www.infibeam.com/Mobiles/i-Lemon-Duo-306-Dual-SIM/P-E-M-Lemon-Duo-306.html,Lemon Duo 306,M0073,Match,Code B-Tree Match
Lemon Duo 309,http://www.infibeam.com/Mobiles/i-Lemon-Duo-309-GSM-Mobile/P-E-M-Lemon-Duo309.html,Lemon Duo 309,M0074,Match,Code B-Tree Match
Lemon Duo 325,http://www.infibeam.com/Mobiles/i-Lemon-Duo-325-Dual-SIM/P-E-M-Lemon-Duo325.html,Lemon Duo 325,M0423,Match,Code B-Tree Match
Lemon Duo 339 Super,http://www.infibeam.com/Mobiles/i-Lemon-Duo-339-Super-Mobile/P-E-M-Lemon-Duo-339-Super.html,Lemon Duo 339 Super,M0077,Match,Code B-Tree Match
Lemon Duo 339,http://www.infibeam.com/Mobiles/i-Lemon-Duo-339-Mobile-Phone/P-E-M-Lemon-Duo339.html,Lemon Duo 339 Super,M0077,Match,Code B-Tree Match
Lemon Duo 349,http://www.infibeam.com/Mobiles/i-Lemon-Duo-349-GSM-Mobile/P-E-M-Lemon-Duo349.html,Lemon 349,M0078,Match,Code B-Tree Match
Lemon F101,http://www.infibeam.com/Mobiles/i-Lemon-F101-Flip-Mobile-Phone/P-E-M-Lemon-F101.html,Lemon Flip F101,M0079,Match,Code B-Tree Match
Lemon W100,http://www.infibeam.com/Mobiles/i-Lemon-W100-3G-Mobile-Phone/P-E-M-Lemon-W100.html,Lemon W100,M0080,Match,Code B-Tree Match
Lemon iQ 505,http://www.infibeam.com/Mobiles/i-Lemon-iQ-505-Qwerty-Phone/P-E-M-Lemon-iQ505.html,Lemon 505,M0081,Match,Code B-Tree Match
Maxx GC735,http://www.infibeam.com/Mobiles/i-Maxx-GC735-Dual-SIM-Slider/P-E-M-Maxx-GC735.html,Maxx GC735,M0082,Match,Code B-Tree Match
Maxx MQ601,http://www.infibeam.com/Mobiles/i-Maxx-MQ601-Dual-Sim-Mobile/P-E-M-Maxx-MQ601.html,Maxx MQ601,M0083,Match,Code B-Tree Match
Maxx MSD7,http://www.infibeam.com/Mobiles/i-Maxx-MSD7-Dual-Sim-Mobile/P-E-M-Maxx-MSD7.html,Maxx MSD7,M0084,Match,Code B-Tree Match
Maxx MT105,http://www.infibeam.com/Mobiles/i-Maxx-MT105-Zippy-Touchscreen-Phone/P-E-M-Maxx-MT105.html,Maxx Zippy MT105,M0085,Match,Code B-Tree Match
Maxx MX124,http://www.infibeam.com/Mobiles/i-Maxx-MX124-Dual-SIM-Mobile/P-E-M-Maxx-MX124.html,Maxx MX124,M0086,Match,Code B-Tree Match
